Pais;Región;PCR   (+);PRUEBA RÁPIDA (+);PRUEBA ANTIGENO(+);TOTAL CASOS (+);FALLECIDOS
PERÚ;LIMA METROPOLITANA;713777;318745;603283;1635805;85882
PERÚ;CALLAO;67774;36629;48933;153336;10551
PERÚ;LA LIBERTAD;34124;39659;81375;155158;10897
PERÚ;AREQUIPA;58709;50434;136640;245783;10403
PERÚ;MOQUEGUA;15106;18225;20598;53929;1643
PERÚ;CUSCO;25120;25674;76583;127377;5220
PERÚ;LAMBAYEQUE;26984;35397;48459;110840;9262
PERÚ;PIURA;17917;46753;97568;162238;13129
PERÚ;AMAZONAS;11052;18720;18302;48074;1353
PERÚ;ICA;12046;33258;62288;107592;8972
PERÚ;JUNIN;24088;42386;68780;135254;7511
PERÚ;ANCASH;25515;29016;85386;139917;7246
PERÚ;CAJAMARCA;33189;28896;41261;103346;4490
PERÚ;HUANUCO;9548;21951;23779;55278;2908
PERÚ;APURIMAC;9334;8852;22696;40882;1647
PERÚ;PUNO;11280;21434;35616;68330;4833
PERÚ;TACNA;10037;15945;30655;56637;2151
PERÚ;LORETO;12408;28226;20292;60926;4404
PERÚ;SAN MARTIN;10723;28817;24781;64321;3178
PERÚ;AYACUCHO;11955;16322;22346;50623;2347
PERÚ;HUANCAVELICA;4558;8346;13885;26789;1283
PERÚ;PASCO;3055;9469;12959;25483;1113
PERÚ;TUMBES;10955;9021;8848;28824;1699
PERÚ;UCAYALI;7294;22016;11634;40944;3271
PERÚ;MADRE DE DIOS;5043;9950;4801;19794;862
PERÚ;LIMA REGIÓN;18001;31739;71879;121619;7773
